"Facility Name","name (OpenLMIS)","DHIS2_id","OpenLMIS Code","DHAMIS Facility ID"
"Abunu Village Clinic","Abunu Village Clinic","GhLliOHShII","Not existing",""
"Achikondi women community ","Achikondi Women Community Friendly Services Clinic","q9qra0ng8xZ","LL4075","1212"
"Adamson Village Clinic","Adamson Village Clinic","dEkkb58AfeZ","Not existing",""
"Admarc Dispensary","Admarc Dispensary","jtid6arDY0M","Not existing",""
"Adventist Health Centre","Adventist Health Centre","E3kLgwow7On","LL4041","1222"
"African Bible College Health Centre","African Bible College Clinic","zYfP0gkHRJH","LL4040","702"
"Ahi Private Clinic","Ahi Private Clinic","VoTfUk9ncoD","ZA2753","809"
"Airwing Clinic","Airwing Clinic Health Centre","V7m6S5TIpqf","ZA2773","1053"
"Akasale Pvt Clinic","Akasale Pvt Clinic","qNuRHXJ2P3m","Not existing","1371"
"Alinafe Community Hospital","Alinafe Hospital","Y46sxDDIkfz","KK1113","344"
"Alliance One Clinic","Alliance One Clinic","wDyK6ODo0vg","LL4047","3"
"Alumenda Health Centre","Alumenda Health Centre","NG36oCEzUcC","CK3359","1181"
"Amalika Dispensary","Amalika Dispensary","lIGQGBEICWx","TO3126","644"
"Anchor Farm Health Centre","Anchor Farm Health Centre","lXEN2NtidAc","KU1061",""
"Area 18 Urban Health Centre","Area 18 Health Centre","h2ls2FUTYDc","LL1501","727"
"Area 18 Medi Clinic ","Area 18 Medi Clinic","sXNwy8bRFub","LL4076","1265"
"Area 25 Banja La Mtsogolo Dispensary","Area 25 BLM Clinic","CbwhI6UruPB","LL4042","1300"
"Area 25 Urban Health Centre","Area 25 Health Centre","mFfOvxjq4y2","LL1502","710"
"Area 30 Police Clinic","Area 30 Police Clinic","LAO8ozAkDKO","LL4048","680"
"Aa-salam Clinic","Assalaam Clinic","e1iVoquOKVT","MH2561","811"
"Atupele Community Hospital","Atupele Hospital","WZ18joAt6xW","KA0216","1199"
"Atupele Village Clinic","Atupele Village Clinic","MeqllfXjkgu","KA0216",""
"Auction Holdings Clinic Kanengo ","Auction Holdings Limited Clinic Kanengo","RpvcgQPC14I","LL4049","1230"
"Babitoni Village Clinic","Babitoni Village Clinic","cVw4AB1LrEG","Not existing",""
"Bakali Village Clinic","Bakali Village Clinic","pM2zDR7KDXb","Not existing",""
"Bakili Village Clinic","Bakili Village Clinic","Tel5ldiHcz5","Not existing",""
"Bala Village Clinic","Bala Village Clinic","umSTsF9lJ9O","Not existing",""
"Balaka-DHO","Balaka DHO Pharmacy","qubeTudDNSC","BLK3601",""
"Balaka District Hospital","Balaka District Hospital","R96XZz9y9Ji","BLK3601","5"
"Balaka Dream Clinic ","Balaka Dream Clinic","aMWj5wusSxW","BLK3614","662"
"Balaka OPD Health Centre","Balaka OPD Health Centre","XysHbVxy3XW","BLK3630","877"
"Balakasi Village Clinic","Balakasi Village Clinic","RRQ4donDRkO","Not existing",""
"Balakasi Village Clinic (Chiradzulu)","Balakasi Village Clinic (Chiradzulu)","zw6LBCPbVl1","Not existing",""
"Bamusi Village Clinic","Bamusi Village Clinic","Ub6pfrBYPL9","MH027",""
"Bandawe Village Clinic","Bandawe Village Clinic","vF6imtF3NNN","Not existing",""
"Bangwe BLM Clinic","Bangwe BLM Clinic","xidxjaQqU54","BT2924","1360"
"Bangwe Health Centre","Bangwe Health Centre","Z4phqEA2Pcr","BT2924","6"
"Banja La Mtsogolo Mzuzu","Banja La Mtsogolo Mzuzu","Sb8xVmXyL5p","Not existing","1356"
"Basale Village Clinic","Basale Village Clinic","mezMjbezHof","Not existing",""
"Baula Village Clinic","Baula Village Clinic","Q7FRmVnFQFg","Not existing",""
"Baylor Childrens Centre Of Excellence In Malawi ","Baylor Childrens Centre Of Excellence In Malawi","yl49po4W4F7","LL4077","1075"
"Bembeke Health Centre","Bembeke Health Centre","spQpsut9f1B","DZ1701","821"
"Benga Health Centre","Benga Health Centre","n6UZ8o9yo6L","KK1101","822"
"Beni Village Clinic","Beni Village Clinic","lSXXAkKx8oh","Not existing",""
"Bereu Dispensary","Bereu Health Centre","FO0kNPmm5E9","CK3322","579"
"Bethsaida Private Hospital ","Bethsaida Private Hospital","zdVWMYRfufn","LL4060","1268"
"Beu Village Clinic","Beu Village Clinic","nuroTUq2hh1","Not existing",""
"Bifimoni Village Clinic","Bifimoni Village Clinic","rKcSSrUSZtb","Not existing",""
"Bilal Dispensary","Bilal Dispensary","KxcbdpaFBia","CZ2811","620"
"Bile Village Clinic","Bile Village Clinic","fWDDXHbjkQU","Not existing",""
"Bilira Health Centre","Bilila Health Centre","pPHM09AVDAS","NU1801","512"
"Biriwiri Health Centre","Biliwiri Health Centre","K9CYAs4mo5E","NU1802","878"
"Billy Riordan Memorial Health Clinic","Billy Riordan Memorial Health Clinic","qQOkofJwpxB","MH2567","1123"
"Bimbi Health Centre","Bimbi Health Centre","gS8A33Rsqjr","ZA2701","7"
"Binali Village Clinic","Binali Village Clinic","zIBZjOm3wYq","Not existing",""
"Binali Village Clinic (Thuchila)","Binali Village Clinic (Thuchila)","cvgJ950xMKf","Not existing",""
"Bingavula Village Clinic","Bingavula Village Clinic","vKLreicVY3b","Not existing",""
"Blantyre Adventist Hospital","Blantyre Adventist Hospital","VOnPaWYUVJK","BT2929","779"
"Blantyre City Assembly Clinic ","Blantyre City Assembly Clinic","kAU4FFex0Pa","BT2930","812"
"Blantyre Civic Centre Dispensary","Blantyre Civic Centre Dispensary","PlWhhBj3LXE","Not existing",""
"Blantyre DHO Mobile Clinic","Blantyre DHO MOBILE","SSD4mvMj5fu","Not existing",""
"Blantyre-DHO","Blantyre DHO Pharmacy","FEGZA6BEAjj","BT5076",""
"Blantyre Dream Project","Blantyre Dream Project","BYyTYjcnELU","BT5040","1074"
"Blantyre Water Board Clinic","Blantyre Water Board Clinic","mHcl2OS43ah","BT5046","780"
"Blessings Hospital ","Blessings Hospital","Y8mjMFSYoPw","LL4038","803"
"Falls Banja La Mtsogolo Dispensary","BLM Falls CLINIC","vYMYW6T4t1J","LL1573","1279"
"BLM Family Planning Clinic","BLM Family Planning Clinic","oqM5ZFHyymE","Many BLM clinics - ?",""
"Blm Lunzu","Blm Lunzu","ILDhbeuLBtX","BT2934","104"
"Blm Mzimba","Blm Mzimba","eRFNJ66WIWi","MZS0570","172"
"Blm Nkhatabay ","Blm Nkhatabay","QsSrtfLO11f","NB0322","503"
